name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent
Maupay,EVE,FWD,5.0,Available,1417,76,6,2.5,1.4
McNeil,EVE,MID,5.5,Available,2891,124,8,3.5,0.9
Mykolenko,EVE,DEF,4.5,Available,2469,101,9,3.6,11.0
Ndiaye,EVE,FWD,5.5,Available,0,0,0,0.0,0.2
Patterson,EVE,DEF,4.5,Available,1000,34,3,1.7,0.2
Pickford,EVE,GKP,5.0,Available,3420,153,22,4.0,18.4
Tarkowski,EVE,DEF,5.0,Available,3420,117,10,3.1,1.6
Y. Chermiti,EVE,FWD,5.0,Available,196,16,0,0.9,0.2
Young,EVE,DEF,4.5,Available,2277,76,3,2.5,0.2
Lindstrøm,EVE,MID,5.5,Available,0,0,0,0.0,0.1
Adama,FUL,MID,5.0,Available,363,36,1,2.1,0.2
Andreas,FUL,MID,5.5,Available,2611,127,7,3.4,4.2
Bassey,FUL,DEF,4.5,Available,2299,66,4,2.3,0.3
Benda,FUL,GKP,4.0,Available,0,0,0,0.0,0.4
Cairney,FUL,MID,5.0,Available,1472,70,2,2.1,0.1
Castagne,FUL,DEF,4.5,Available,2630,105,7,3.1,3.2
Diop,FUL,DEF,4.5,Available,1423,43,3,2.4,0.2
Harris,FUL,MID,4.5,Available,74,2,0,2.0,0.1
Iwobi,FUL,MID,5.5,Available,2331,102,9,3.2,0.5
Leno,FUL,GKP,5.0,Available,3420,133,15,3.5,3.1
Lukić,FUL,MID,5.0,Available,1113,43,0,1.8,0.1
Mbabu,FUL,DEF,4.0,Available,0,0,0,0.0,0.4
Muniz,FUL,FWD,6.0,Available,1589,97,12,3.7,5.6
Raúl,FUL,FWD,5.5,Available,1390,72,13,3.0,0.4
Ream,FUL,DEF,4.5,Available,1503,40,4,2.2,0.2
Reed,FUL,MID,5.0,Available,1317,47,0,1.7,0.1
Robinson,FUL,DEF,4.5,Available,3266,104,8,2.8,5.2
Stansfield,FUL,FWD,5.0,Available,0,0,0,0.0,0.1
Tete,FUL,DEF,4.5,Available,863,27,0,1.9,0.2
Vinicius,FUL,FWD,5.0,Available,306,22,2,1.7,0.6
Wilson,FUL,MID,5.5,Available,1603,94,5,2.7,0.3
Sessegnon,FUL,DEF,4.5,Available,0,0,0,0.0,0.0
Al-Hamadi,IPS,FWD,5.0,Available,0,0,0,0.0,0.5
Baggott,IPS,DEF,4.0,Available,0,0,0,0.0,0.5
Broadhead,IPS,MID,5.0,Available,0,0,0,0.0,0.2
Burgess,IPS,DEF,4.0,Available,0,0,0,0.0,0.4
Burns,IPS,MID,5.0,Available,0,0,0,0.0,0.2
Chaplin,IPS,MID,5.5,Available,0,0,0,0.0,0.5
Clarke,IPS,DEF,4.0,Available,0,0,0,0.0,0.3
Davis,IPS,DEF,4.5,Available,0,0,0,0.0,3.2
Delap,IPS,FWD,5.5,Available,0,0,0,0.0,0.6
Edmundson,IPS,DEF,4.0,Available,0,0,0,0.0,0.2
Greaves,IPS,DEF,4.0,Available,0,0,0,0.0,0.6
Harness,IPS,MID,5.0,Available,0,0,0,0.0,0.0
Hirst,IPS,FWD,5.5,Available,0,0,0,0.0,0.1
Humphreys,IPS,MID,4.5,Available,0,0,0,0.0,0.2
Hutchinson,IPS,MID,5.5,Available,0,0,0,0.0,1.3
Johnson,IPS,DEF,4.0,Available,538,17,0,1.2,2.0
Ladapo,IPS,FWD,4.5,Available,0,0,0,0.0,2.6
Luongo,IPS,MID,4.5,Available,0,0,0,0.0,0.5
Morsy,IPS,MID,5.0,Available,0,0,0,0.0,0.4
Ndaba,IPS,DEF,4.0,Available,0,0,0,0.0,0.2
Slicker,IPS,GKP,4.0,Available,0,0,0,0.0,0.6
Taylor,IPS,MID,5.0,Available,0,0,0,0.0,0.0
Tuanzebe,IPS,DEF,4.0,Available,0,0,0,0.0,1.2
Walton,IPS,GKP,4.5,Available,0,0,0,0.0,0.3
Woolfenden,IPS,DEF,4.0,Available,0,0,0,0.0,1.3
Muric,IPS,GKP,4.5,Available,900,47,12,4.7,0.5
B.Soumaré,LEI,MID,4.5,Available,0,0,0,0.0,0.2
Cannon,LEI,FWD,4.5,Available,0,0,0,0.0,1.1
